rpt_rec_num,provider_number,year,util_cd,fy_bgn_dt,fy_end_dt,beds,mcare_discharges,medicaid_discharges,tot_charges,tot_discharges,tot_discounts,tot_mcare_payment,ip_charges,icu_charges,ancillary_charges,hrrp_payment,vbp_payment,discount_factor,price,net_penalty,any_penalty
540483,110203,2013,F,09/01/2012,2013-08-31,30.0,27.0,2.0,79984802.0,6205.0,50000824.0,439164.0,26665661.0,,26665661.0,23777.0,8195.0,0.3748709411070368,3164.9722998741363,31972.0,0
548974,110203,2014,F,09/01/2013,2014-06-29,30.0,10.0,1.0,45798608.0,5134.0,29392187.0,353158.0,17493682.0,,17493682.0,-105056.0,38339.0,0.3582296868062016,2377.1183543900415,-66717.0,1
258585,110205,2010,F,07/01/2009,2010-06-30,35.0,2638.0,206.0,62538962.0,14600.0,37139939.0,2559824.0,,,,,,0.40613118906578594,-213.9963216853369,0.0,0
1780,110205,2011,F,07/01/2010,2011-06-30,30.0,3300.0,189.0,57263970.0,14600.0,31877539.0,2544470.0,22987773.0,374622.0,,52130.0,284019.0,0.44332293063159955,691.3818953958432,336149.0,0
522089,110205,2012,F,07/01/2011,2012-06-30,30.0,2887.0,184.0,55816752.0,14640.0,30612574.0,2496291.0,23983375.0,441494.0,,-72089.0,115475.0,0.451552215005273,726.0114607473519,43386.0,0
524080,110205,2013,F,07/01/2012,2013-06-30,30.0,3367.0,381.0,58728503.0,14600.0,32873202.0,2797158.0,24367982.0,397126.0,24765108.0,68457.0,143765.0,0.44025132055554017,1692.209116122242,212222.0,0
550373,110205,2014,F,07/01/2013,2014-06-30,30.0,2947.0,289.0,56187814.0,14600.0,31699271.0,2890596.0,22050843.0,304924.0,22355767.0,97229.0,-64721.0,0.43583370230420426,1424.199553670326,32508.0,0
568192,110205,2015,F,07/01/2014,2015-06-30,30.0,2241.0,199.0,57834460.0,14600.0,32347196.0,2337056.0,21679692.0,242158.0,21921850.0,-154291.0,34616.0,0.44069338591559426,1374.2675462470702,-119675.0,1
590451,110205,2016,F,07/01/2015,2016-06-30,30.0,798.0,46.0,38906314.0,14640.0,22013247.0,924707.0,19165943.0,59139.0,19225082.0,-20282.0,99779.0,0.43419859820182405,1139.3079258366017,79497.0,0
290209,110209,2009,F,01/01/2009,2009-12-31,70.0,4924.0,,19247651.0,25550.0,5274463.0,5406766.0,,,,,,0.7259684831151604,-262.1335207989916,0.0,0
301156,110209,2010,F,01/01/2010,2010-12-31,43.0,6359.0,,23434080.0,15695.0,6958317.0,7955268.0,,,,,,0.7030684797525655,-852.1066838046272,0.0,0
533103,110209,2011,F,01/01/2011,2011-12-31,30.0,8062.0,,29403754.0,15695.0,7001805.0,9403452.0,8616887.0,,,70473.0,,0.7618737729883062,-371.86843834614353,70473.0,0
540161,110209,2012,F,01/01/2012,2012-12-31,30.0,9111.0,,36918740.0,15695.0,10162531.0,11300439.0,11482999.0,,,713739.0,1210140.0,0.7247324529493693,-452.35980673068735,1923879.0,0
533635,110209,2013,F,01/01/2013,2013-12-31,30.0,10355.0,,46676737.0,15695.0,13854606.0,12389231.0,14428055.0,,,261306.0,644409.0,0.7031796374283832,-420.1716322665221,905715.0,0
553372,110209,2014,F,01/01/2014,2014-12-31,30.0,9841.0,1.0,55721208.0,15695.0,15488622.0,13122743.0,16857732.0,,,143594.0,552248.0,0.7220336285602422,-162.4348470693356,695842.0,0
575725,110209,2015,F,01/01/2015,2015-12-31,30.0,10268.0,1.0,60647029.0,12045.0,18207476.0,14808187.0,18112157.0,,,175462.0,500720.0,0.6997795885434058,-1200.7142526203893,676182.0,0
635201,110209,2016,F,01/01/2016,2016-12-31,30.0,11389.0,,56715957.0,12078.0,16971180.0,15975601.0,14117003.0,,,104235.0,186348.0,0.7007688682745845,-8828.512023600995,290583.0,0
626786,110209,2017,F,01/01/2017,2017-12-31,30.0,11625.0,,72146489.0,12045.0,31484396.0,18129757.0,14803162.0,,,-1483603.0,1755012.0,0.5636045989708522,-23301.492422593907,271409.0,0
682700,110209,2018,F,01/01/2018,2018-12-31,30.0,12565.0,,93787331.0,12045.0,50186448.0,20464442.0,15988848.0,,,-1725145.0,1803507.0,0.4648909669899872,25060.328831200146,78362.0,0
708227,110209,2019,F,01/01/2019,2019-12-31,30.0,12858.0,,105962965.0,15695.0,59391089.0,21317736.0,16658925.0,,,-1528193.0,2435217.0,0.4395108800513462,-4933.365249397471,907024.0,0
252519,110212,2009,F,01/01/2009,2009-12-31,33.0,4550.0,679.0,127971764.0,14965.0,86605906.0,5822874.0,,,,,,0.3232420708055568,-559.0853576572251,0.0,0
