provider_number,price_2011,price_2014,net_penalty,hrrp_penalty,vbp_penalty,any_penalty,net_penalty_1k,hrrp_penalty_1k,avg_mcare_dis,avg_beds,avg_mcaid_dis,avg_mcare_100,price_change
030117,1124.1631046134569,407.05312803064334,43765.0,0.0,43765.0,1.0,43.765,0.0,9341.5,34.0,3028.5,93.415,-717.1099765828135
030118,2396.1849124557552,1871.6136603117911,1217.0,0.0,1217.0,1.0,1.217,0.0,7927.0,36.0,2638.5,79.27,-524.5712521439641
030119,2995.761048886661,1999.3498284869577,377.0,0.0,377.0,1.0,0.377,0.0,34879.5,109.0,12358.5,348.795,-996.4112203997031
030120,10314.913194641722,1743.8894740715607,16238.0,0.0,16238.0,1.0,16.238,0.0,3401.5,23.0,1132.0,34.015,-8571.023720570161
030121,1274.5115774215074,1087.8436913230985,339532.0,339532.0,0.0,1.0,339.532,339.532,29247.0,84.5,6892.5,292.47,-186.66788609840887
030122,6249.841379974908,8838.761591149709,200608.0,200608.0,0.0,1.0,200.608,200.608,29422.0,87.0,12572.5,294.22,2588.920211174801
030123,3629.261950479811,2010.1875661847841,0.0,0.0,0.0,0.0,0.0,0.0,8570.5,43.0,506.5,85.705,-1619.0743842950267
030130,1249.819815953912,1708.2468803766128,148793.0,148793.0,0.0,1.0,148.793,148.793,7008.0,30.0,2386.0,70.08,458.4270644227008
030131,353.6420454816213,467.4094298953111,152973.0,152973.0,0.0,1.0,152.973,152.973,1293.0,30.0,,12.93,113.7673844136898
040002,1711.9093424620612,1255.8616841494493,69657.0,58238.0,11419.0,1.0,69.657,58.238,5814.0,40.0,1255.0,58.14,-456.04765831261193
040004,1374.234028257659,987.3261125998587,168568.0,168568.0,0.0,1.0,168.568,168.568,35574.0,107.5,3827.0,355.74,-386.90791565780034
040007,1696.8540355226917,1279.0079985239515,0.0,0.0,0.0,0.0,0.0,0.0,71187.5,170.0,11888.0,711.875,-417.84603699874015
040010,2758.204360680733,3942.484176351488,21807.0,21807.0,0.0,1.0,21.807,21.807,21860.0,83.0,2621.5,218.6,1184.279815670755
040011,1247.0501371686082,1365.6922807156427,0.0,0.0,0.0,0.0,0.0,0.0,5918.5,35.0,369.0,59.185,118.6421435470345
040014,487.5987350040539,3316.3616842244937,3624.0,0.0,3624.0,1.0,3.624,0.0,36498.5,188.5,5692.5,364.985,2828.7629492204396
040015,1423.9982855865353,1192.1062467956765,22462.0,22462.0,0.0,1.0,22.462,22.462,3354.0,32.5,784.0,33.54,-231.8920387908588
040016,10314.913194641722,10575.555218759062,490411.0,490411.0,0.0,1.0,490.411,490.411,86936.5,168.0,23219.0,869.365,260.64202411734004
040018,221.4061101711404,256.4664340435436,0.0,0.0,0.0,0.0,0.0,0.0,4823.0,62.5,826.0,48.23,35.06032387240319
040019,1010.4400278828113,794.6530333715843,551.0,0.0,551.0,1.0,0.551,0.0,4962.5,37.5,2094.0,49.625,-215.7869945112269
040020,4781.72233564867,3243.9377962796575,1426628.0,1426628.0,0.0,1.0,1426.628,1426.628,57980.0,145.0,9767.5,579.8,-1537.7845393690127
040022,1377.6407723642253,1216.0796093520478,430985.0,430985.0,0.0,1.0,430.985,430.985,50100.5,176.5,7703.5,501.005,-161.56116301217753
040026,1194.4184136454935,1007.44492558723,0.0,0.0,0.0,0.0,0.0,0.0,40719.5,120.0,4785.5,407.195,-186.97348805826346
040027,2641.994576422823,2768.267563934824,44511.0,0.0,44511.0,1.0,44.511,0.0,26877.5,88.0,2627.0,268.775,126.27298751200124
040029,3095.1846243079176,2643.602328219104,0.0,0.0,0.0,0.0,0.0,0.0,23529.0,74.0,2724.0,235.29,-451.58229608881356
040036,1705.6511793272703,1681.9022809033374,139755.0,139755.0,0.0,1.0,139.755,139.755,36896.0,93.0,3416.0,368.96,-23.748898423932815
040039,1137.4900673472077,802.773314053898,23385.0,22138.0,1247.0,1.0,23.385,22.138,13640.0,68.0,2102.5,136.4,-334.7167532933097
040042,701.29053702167,550.7289429532897,0.0,0.0,0.0,0.0,0.0,0.0,11621.0,72.5,2961.5,116.21,-150.56159406838037
040047,1540.9565602975938,1075.0717866241826,0.0,0.0,0.0,0.0,0.0,0.0,2771.0,31.0,362.0,27.71,-465.88477367341125
040050,869.0511528681661,704.9186678017168,23557.0,23557.0,0.0,1.0,23.557,23.557,5886.5,54.5,952.0,58.865,-164.13248506644936
040055,2875.8642102605895,2650.3137774945853,603707.0,603707.0,0.0,1.0,603.707,603.707,40802.0,97.5,4432.5,408.02,-225.55043276600418
040062,2043.9032119568228,2015.0819408095845,0.0,0.0,0.0,0.0,0.0,0.0,47305.0,153.0,5067.0,473.05,-28.82127114723835
040067,1247.8556713766545,1256.7389817036683,0.0,0.0,0.0,0.0,0.0,0.0,5611.5,47.5,925.0,56.115,8.88331032701376
040069,221.4061101711404,256.4664340435436,34739.0,34739.0,0.0,1.0,34.739,34.739,3534.0,83.0,1828.0,35.34,35.06032387240319
040071,812.0781212968553,523.8116854383379,0.0,0.0,0.0,0.0,0.0,0.0,33956.5,132.5,6694.5,339.565,-288.2664358585174
040072,1313.9209991402734,1307.742718642834,187159.0,45735.0,141424.0,1.0,187.159,45.735,5420.0,34.5,744.5,54.2,-6.178280497439346
040074,4708.370848132397,883.7823061892351,549.0,549.0,0.0,1.0,0.549,0.549,4095.5,25.0,368.0,40.955,-3824.5885419431625
040076,553.1320929855974,562.7454975213878,0.0,0.0,0.0,0.0,0.0,0.0,5393.5,31.0,441.5,53.935,9.613404535790437
040080,221.4061101711404,256.4664340435436,587.0,0.0,587.0,1.0,0.587,0.0,7470.0,67.0,1577.0,74.7,35.06032387240319
040084,1509.7759407012777,1217.3039481592648,28731.0,0.0,28731.0,1.0,28.731,0.0,14398.0,44.5,1996.0,143.98,-292.4719925420129
040085,221.4061101711404,256.4664340435436,907.0,0.0,907.0,1.0,0.907,0.0,5970.0,75.5,1750.5,59.7,35.06032387240319
040114,1444.0826321035106,1080.1595964761336,0.0,0.0,0.0,0.0,0.0,0.0,117934.5,300.0,12748.0,1179.345,-363.923035627377
040118,2265.5143154079838,1520.878557517497,493222.0,0.0,493222.0,1.0,493.222,0.0,4532.0,57.0,706.0,45.32,-744.6357578904867
040119,3806.561194442071,1876.0333190296826,5209.0,5209.0,0.0,1.0,5.209,5.209,30397.0,76.5,3551.0,303.97,-1930.5278754123885
040134,221.4061101711404,1150.3036447084141,0.0,0.0,0.0,0.0,0.0,0.0,21076.5,71.0,1092.5,210.765,928.8975345372737
040137,703.0795297048843,256.4664340435436,163125.0,160011.0,3114.0,1.0,163.125,160.011,6539.5,40.0,418.5,65.395,-446.6130956613407
040147,1193.379869560628,1283.9925932368242,113967.0,113967.0,0.0,1.0,113.967,113.967,5015.5,40.5,130.5,50.155,90.61272367619608
040152,1771.214066971234,2716.5542814210826,0.0,0.0,0.0,0.0,0.0,0.0,1196.0,25.0,4.5,11.96,945.3402144498486
050006,261.2392707477821,2361.144995443349,869447.0,869447.0,0.0,1.0,869.447,869.447,21682.5,98.0,7055.0,216.825,2099.905724695567
050007,4401.467857036198,4413.833846567602,2379546.0,2314927.0,64619.0,1.0,2379.546,2314.927,33405.0,112.5,1894.5,334.05,12.365989531404011
050008,2825.445333339144,11133.528764616662,323878.0,323878.0,0.0,1.0,323.878,323.878,11605.5,59.0,862.5,116.055,8308.083431277519
050009,1945.1283196733739,1239.4708631080625,1094951.0,1094951.0,0.0,1.0,1094.951,1094.951,27347.5,94.5,2673.5,273.475,-705.6574565653113
050013,659.8230662832899,748.8512806348032,497059.0,484627.0,12432.0,1.0,497.059,484.627,17300.5,99.5,2180.5,173.005,89.02821435151327
